domain,kingdom,phylum,class,order,family,genus,species,host,type,01_dolphin_feces_SQK-NBD114-24_barcode15,02_sealion_feces_SQK-NBD114-24_barcode16,03_dolphin_serum_SQK-NBD114-24_barcode17,04_sealion_serum_SQK-NBD114-24_barcode18,S02_SQK-NBD114-24_barcode01,S07_SQK-NBD114-24_barcode02,S09_SQK-NBD114-24_barcode03,S14_SQK-NBD114-24_barcode04,S17_SQK-NBD114-24_barcode05,S19_SQK-NBD114-24_barcode06,S20_SQK-NBD114-24_barcode07,S20_d_EXP-NBD104_barcode04,S26_SQK-NBD114-24_barcode08,S31_SQK-NBD114-24_barcode09,S32_SQK-NBD114-24_barcode10,m03_SQK-NBD114-24_barcode02,m04_SQK-NBD114-24_barcode03,m05_SQK-NBD114-24_barcode04,m06_SQK-NBD114-24_barcode05,m07_SQK-NBD114-24_barcode06,m08_SQK-NBD114-24_barcode07,m09_SQK-NBD114-24_barcode08,m10_SQK-NBD114-24_barcode09,m11_SQK-NBD114-24_barcode10,m12_SQK-NBD114-24_barcode11,m13_SQK-NBD114-24_barcode12,m14_SQK-NBD114-24_barcode13,m15_SQK-NBD114-24_barcode14,m16_SQK-NBD114-24_barcode15,m17_SQK-NBD114-24_barcode16,m19_SQK-NBD114-24_barcode18,m24_SQK-NBD114-24_barcode02,m25_SQK-NBD114-24_barcode03,m26_SQK-NBD114-24_barcode04,m27_SQK-NBD114-24_barcode05,m28_SQK-NBD114-24_barcode06,m29_SQK-NBD114-24_barcode07,m30_SQK-NBD114-24_barcode08,m31_SQK-NBD114-24_barcode09,m32_SQK-NBD114-24_barcode10,m33_SQK-NBD114-24_barcode11,m34_SQK-NBD114-24_barcode12,m35_SQK-NBD114-24_barcode13,m36_SQK-NBD114-24_barcode14,oy09_SQK-NBD114-24_barcode01,oy10_SQK-NBD114-24_barcode02,oy11_SQK-NBD114-24_barcode03,oy12_SQK-NBD114-24_barcode04,oy13_SQK-NBD114-24_barcode05,oy14_SQK-NBD114-24_barcode06,oy15_SQK-NBD114-24_barcode07,oy16_SQK-NBD114-24_barcode08,oy20_SQK-NBD114-24_barcode09,oy21_SQK-NBD114-24_barcode10,oy22_SQK-NBD114-24_barcode11,oy23_SQK-NBD114-24_barcode12,oy24_SQK-NBD114-24_barcode13,oy25_SQK-NBD114-24_barcode14,oy26_SQK-NBD114-24_barcode15,oy27_SQK-NBD114-24_barcode16,oy31_SQK-NBD114-24_barcode17,oy32_SQK-NBD114-24_barcode18,oy33_SQK-NBD114-24_barcode19,oy34_SQK-NBD114-24_barcode20,oy35_SQK-NBD114-24_barcode21,oy36_SQK-NBD114-24_barcode22,oy37_SQK-NBD114-24_barcode23,oy38_SQK-NBD114-24_barcode24,oy42_SQK-NBD114-24_barcode02,oy43_SQK-NBD114-24_barcode03,oy44_SQK-NBD114-24_barcode04,oy45_SQK-NBD114-24_barcode05,oy46_SQK-NBD114-24_barcode06,oy47_SQK-NBD114-24_barcode07,oy49_SQK-NBD114-24_barcode08,oy50_SQK-NBD114-24_barcode09,oy51_SQK-NBD114-24_barcode10,oy52_SQK-NBD114-24_barcode11,oy53_SQK-NBD114-24_barcode12,oy54_SQK-NBD114-24_barcode13,oy55_SQK-NBD114-24_barcode14,oy56_SQK-NBD114-24_barcode15,oy58_SQK-NBD114-24_barcode16,oy59_SQK-NBD114-24_barcode17,oy60_SQK-NBD114-24_barcode18,oy61_SQK-NBD114-24_barcode19,oy63_SQK-NBD114-24_barcode21,oy64_SQK-NBD114-24_barcode22,sd1_SQK-NBD114-24_barcode16,sd2_SQK-NBD114-24_barcode17,sd3_SQK-NBD114-24_barcode18,sd4_SQK-NBD114-24_barcode19,total
Viruses,unclassified,unclassified,Naldaviricetes,Lefavirales,Baculoviridae,Alphabaculovirus,Alphabaculovirus oxochraceae,invertebrate,dsDNA,0,0,0,0,1,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Viruses,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Alphachrysovirus,Alphachrysovirus penicillii,fungi,dsRNA,0,0,0,0,3,7,41,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,106
Viruses,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Alphachrysovirus,Alphachrysovirus perseae,fungi,dsRNA,60,44,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,1,1,3,3,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
Viruses,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Alphanecrovirus,Alphanecrovirus oleae,plant,ssRNA(+),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Viruses,unclassified,unclassified,Naldaviricetes,Lefavirales,Nudiviridae,Alphanudivirus,Alphanudivirus oryrhinocerotis,invertebrate,dsDNA,6,18,0,0,32,95,274,163,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,2,2,2,2,48,0,5,0,3,4,6,7,8,6,5,0,2,1,2,29,4,0,1,0,1,1,0,0,0,0,0,0,3,12,12,24,6,2,0,2,0,0,2,1,0,0,0,0,805
Viruses,unclassified,unclassified,Naldaviricetes,Lefavirales,Nudiviridae,Alphanudivirus,Alphanudivirus quartudromelanogasteris,invertebrate,dsDNA,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Viruses,unclassified,unclassified,Naldaviricetes,Lefavirales,Nudiviridae,Alphanudivirus,Alphanudivirus tertidromelanogasteris,invertebrate,dsDNA,9865,88,70,65,34,91,218,61,0,0,0,0,0,1,0,3,34,88,258,57,65,79,273,29,162,154,297,10,4,194,7,742,343,235,4633,1859,168,1434,208,17257,3594,2615,318,57,484,737,419,884,1160,1,458,5,176,137,126,144,92,571,164,336,74,200,69,1121,1185,132,117,143,2,1,2,17,0,0,0,5,8,12,6,84,36,0,1,0,0,0,1,0,5,7,6,7,54805
Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified,Kyanoviridae,Anaposvirus,Anaposvirus socalone,bacteria,dsDNA,0,0,0,0,0,0,11,0,0,3,14,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,1,16,68
Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,Magrovirales,Aoguangviridae,Aobingvirus,Aobingvirus yangshanense,archaea,dsDNA,0,0,0,0,0,0,0,5,0,36,17,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
Viruses,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,Apis mellifera filamentous virus,invertebrate,dsDNA,0,0,0,0,26,8,15,11,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aquambidensovirus,Aquambidensovirus asteroid1,invertebrate,ssDNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,4,12
Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified,Autographiviridae,Ashivirus,Ashivirus S45C4,bacteria,dsDNA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,74,4,88,219
Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Marnaviridae,Kusarnavirus,Astarnavirus,algae,ssRNA(+),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified,Kyanoviridae,Atlauavirus,Atlauavirus acg2014f,bacteria,dsDNA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified,Kyanoviridae,Atlauavirus,Atlauavirus tusconc8,bacteria,dsDNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Malacoherpesviridae,Aurivirus,Aurivirus haliotidmalaco1,invertebrate,dsDNA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified,unclassified,Aurunvirus,Aurunvirus STIM5,algae,dsDNA,0,0,0,0,0,12,3,3,2,2,7,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,41
Viruses,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Avenavirus,Avenavirus avenae,plant,ssRNA(+),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,Avian myeloblastosis virus,vertebrate,ssRNA(+),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Viruses,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified,Avon-Heathcote Estuary associated circular virus 10,vertebrate,ssDNA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Viruses,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified,Avon-Heathcote Estuary associated circular virus 14,vertebrate,ssDNA,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227
Viruses,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified,Avon-Heathcote Estuary associated circular virus 15,vertebrate,ssDNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3
Viruses,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified,Avon-Heathcote Estuary associated circular virus 25,vertebrate,ssDNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,2,3,43
Viruses,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified,Avon-Heathcote Estuary associated circular virus 28,vertebrate,ssDNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified,unclassified,Axeltriavirus,Axeltriavirus AXL3,algae,dsDNA,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified,Autographiviridae,Ayaqvirus,Ayaqvirus S45C18,bacteria,dsDNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,3,15
Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified,Pachyviridae,Bacelvirus,Bacelvirus phi46tres,bacteria,dsDNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified,unclassified,Wbetavirus,Bacillus phage Carmel_SA,bacteria,dsDNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified,unclassified,Baikalvirus,Baikalvirus PaBG,bacteria,dsDNA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
