sample,sample.type,sample.number,index,reference,startpos,ref.length,number.of.reads,covbases,pc.coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
oy09_SQK-NBD114-24_barcode01,oyster,1,27,NC_024486.1,1,43734,1,158,0.361275,0.00361275,31.5,4,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.00361275,0.059997482,16.60715112,0
oy21_SQK-NBD114-24_barcode10,oyster,10,19,NC_024486.1,1,43734,1,150,0.342983,0.00342983,28.7,1,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.003429826,0.058464195,17.0458206,0.04
m32_SQK-NBD114-24_barcode10,mussel,75,31,NC_024486.1,1,43734,2,147,0.336123,0.00521334,35.5,4.5,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.005213335,0.094288749,18.08607076,0
S07_SQK-NBD114-24_barcode02, bay seawater,81,244,NC_075488.1,1,45810,1,147,0.320891,0.00320891,33.1,1,190063,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Fowl aviadenovirus C,0.003208906,0.056556249,17.62477384425754,0
sd1_SQK-NBD114-24_barcode16,sd seawater,90,39,NC_015323.1,1,45667,1,139,0.304377,0.00304377,33.6,1,190063,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Fowl aviadenovirus C,0.003043773,0.055086376,18.09805427,0.01
oy10_SQK-NBD114-24_barcode02,oyster,2,30,NC_024486.1,1,43734,2,129,0.294965,0.00491608,32.9,3.5,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.004916084,0.093940314,19.10877066,0
S31_SQK-NBD114-24_barcode09, bay seawater,88,194,NC_075488.1,1,45810,1,134,0.292513,0.00292513,39.4,1,190063,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Fowl aviadenovirus C,0.002925126,0.054005269734972015,18.462547810142297,0.02
oy13_SQK-NBD114-24_barcode05,oyster,5,37,NC_024486.1,1,43734,2,110,0.251521,0.00402433,24.4,2.5,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.004024329,0.083823507,20.82918898,0
oy25_SQK-NBD114-24_barcode14,oyster,14,25,NC_024486.1,1,43734,1,99,0.226369,0.00226369,37.5,4,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.002263685,0.047524317,20.9942272,0.01
sd1_SQK-NBD114-24_barcode16,sd seawater,90,94,NC_024486.1,1,43734,1,62,0.141766,0.00141766,40.2,2,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.001417661,0.037625145,26.54029195,0.01
02_sealion_feces_SQK-NBD114-24_barcode16,sealion feces,96,73,NC_040681.1,1,158250,5,356,0.224961,0.00763981,36.4,2.8,2282206,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batrachovirus,Bufonid herpesvirus 1,0.00763981,0.18506244997257912,24.223434828916993,0.05
oy09_SQK-NBD114-24_barcode01,oyster,1,45,NC_040681.1,1,158250,23,193,0.121959,0.0223381,38.3,11.7,2282206,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batrachovirus,Bufonid herpesvirus 1,0.022338073,0.694196365,31.07682455,0.06
oy10_SQK-NBD114-24_barcode02,oyster,2,51,NC_040681.1,1,158250,43,191,0.120695,0.0415671,37.1,21,2282206,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batrachovirus,Bufonid herpesvirus 1,0.041567141,1.283155105,30.86945809,0.06
oy13_SQK-NBD114-24_barcode05,oyster,5,61,NC_040681.1,1,158250,27,166,0.104897,0.0263128,34.1,4.48,2282206,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batrachovirus,Bufonid herpesvirus 1,0.026312796,0.820389587,31.17835066,0.03
oy12_SQK-NBD114-24_barcode04,oyster,4,51,NC_040681.1,1,158250,5,163,0.103002,0.00446761,38.1,3.8,2282206,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batrachovirus,Bufonid herpesvirus 1,0.004467615,0.141841676,31.74886163,0.01
oy21_SQK-NBD114-24_barcode10,oyster,10,30,NC_040681.1,1,158250,4,163,0.103002,0.0036019,36.5,1,2282206,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batrachovirus,Bufonid herpesvirus 1,0.003601896,0.114644775,31.82900992,0.14
oy34_SQK-NBD114-24_barcode20,oyster,20,52,NC_040681.1,1,158250,2,163,0.103002,0.00196524,32.4,1,2282206,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batrachovirus,Bufonid herpesvirus 1,0.001965245,0.061901864,31.49829594,0.01
oy35_SQK-NBD114-24_barcode21,oyster,21,62,NC_040681.1,1,158250,3,163,0.103002,0.00290679,30.4,8.33,2282206,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batrachovirus,Bufonid herpesvirus 1,0.002906793,0.091698485,31.54627231,0.01
oy20_SQK-NBD114-24_barcode09,oyster,9,28,NC_040681.1,1,158250,1,162,0.10237,0.0010237,37.6,2,2282206,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batrachovirus,Bufonid herpesvirus 1,0.001023697,0.031978879,31.23862756,0.03
oy55_SQK-NBD114-24_barcode14,oyster,38,44,NC_040681.1,1,158250,2,162,0.10237,0.00174408,37.3,2.5,2282206,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batrachovirus,Bufonid herpesvirus 1,0.001744076,0.056407378,32.34227395,0.01
oy15_SQK-NBD114-24_barcode07,oyster,7,44,NC_040681.1,1,158250,3,158,0.099842,0.00296998,38.5,1,2282206,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batrachovirus,Bufonid herpesvirus 1,0.002969984,0.094077515,31.67609955,0.01
oy33_SQK-NBD114-24_barcode19,oyster,19,26,NC_040681.1,1,158250,1,153,0.0966825,0.000966825,37.7,1,2282206,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batrachovirus,Bufonid herpesvirus 1,0.000966825,0.031078769,32.14519755,0
oy11_SQK-NBD114-24_barcode03,oyster,3,54,NC_040681.1,1,158250,1,151,0.0954186,0.000954186,32.6,1,2282206,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batrachovirus,Bufonid herpesvirus 1,0.000954186,0.030875167,32.35758404,0
oy36_SQK-NBD114-24_barcode22,oyster,22,36,NC_040681.1,1,158250,1,151,0.0954186,0.000954186,35.5,1,2282206,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batrachovirus,Bufonid herpesvirus 1,0.000954186,0.030875167,32.35758404,0
02_sealion_feces_SQK-NBD114-24_barcode16,sealion feces,96,66,NC_035117.1,1,167212,11,461,0.275698,0.0105734,29.8,1.82,2022783,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Bossavirus,Bossavirus delphinidgamma1,0.010573404,0.21811961881085445,20.629082409841967,0.1
01_dolphin_feces_SQK-NBD114-24_barcode15,dolphin feces,94,60,NC_035117.1,1,167212,1,171,0.102265,0.00102265,24.1,1,2022783,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Bossavirus,Bossavirus delphinidgamma1,0.001022654,0.031962604,31.25456692,0
oy13_SQK-NBD114-24_barcode05,oyster,5,53,NC_035117.1,1,167212,1,120,0.0717652,0.000717652,31.4,1,2022783,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Bossavirus,Bossavirus delphinidgamma1,0.000717652,0.02677941,37.31532304,0
oy10_SQK-NBD114-24_barcode02,oyster,2,25,NC_021901.1,1,197693,47,269,0.13607,0.0533302,34.6,9.02,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.053330163,1.494167328,28.01730262,0.07
oy13_SQK-NBD114-24_barcode05,oyster,5,32,NC_021901.1,1,197693,49,269,0.13607,0.0565624,35.8,6.98,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.056562448,1.586308283,28.04525517,0.06
oy09_SQK-NBD114-24_barcode01,oyster,1,23,NC_021901.1,1,197693,12,268,0.135564,0.0137334,36.1,16.2,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.013733415,0.393040076,28.61925296,0.03
oy34_SQK-NBD114-24_barcode20,oyster,20,34,NC_021901.1,1,197693,15,268,0.135564,0.0164599,33.5,2.13,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.016459865,0.463093886,28.13473252,0.05
oy12_SQK-NBD114-24_barcode04,oyster,4,29,NC_021901.1,1,197693,14,267,0.135058,0.0165155,34,12.2,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.016515506,0.466991379,28.27593467,0.02
oy11_SQK-NBD114-24_barcode03,oyster,3,33,NC_021901.1,1,197693,7,266,0.134552,0.00825522,35.6,8.43,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.008255224,0.233346794,28.26656118,0.02
oy35_SQK-NBD114-24_barcode21,oyster,21,39,NC_021901.1,1,197693,16,265,0.134046,0.0174108,34.9,3.31,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.017410834,0.500186223,28.72844714,0.04
oy52_SQK-NBD114-24_barcode11,oyster,35,11,NC_021901.1,1,197693,2,265,0.134046,0.00252412,40.4,17,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.002524116,0.069893143,27.69015043,0.01
oy15_SQK-NBD114-24_barcode07,oyster,7,24,NC_021901.1,1,197693,10,264,0.13354,0.0113206,36.2,5.2,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.011320583,0.318565441,28.14037428,0.02
oy24_SQK-NBD114-24_barcode13,oyster,13,14,NC_021901.1,1,197693,6,264,0.13354,0.0069704,33.8,3.5,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.006970404,0.196487428,28.18881643,0.19
oy25_SQK-NBD114-24_barcode14,oyster,14,21,NC_021901.1,1,197693,9,264,0.13354,0.0101319,35.6,2.33,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.010131871,0.291276817,28.748571,0.1
oy37_SQK-NBD114-24_barcode23,oyster,23,18,NC_021901.1,1,197693,2,263,0.133035,0.00238248,24.2,1,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.002382482,0.066940858,28.09711057,0
oy38_SQK-NBD114-24_barcode24,oyster,24,16,NC_021901.1,1,197693,3,262,0.132529,0.00350038,34.3,4.67,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.003500377,0.099254854,28.35547667,0.01
oy33_SQK-NBD114-24_barcode19,oyster,19,18,NC_021901.1,1,197693,6,260,0.131517,0.00629764,35,3,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.006297643,0.178871065,28.40285737,0.01
oy36_SQK-NBD114-24_barcode22,oyster,22,25,NC_021901.1,1,197693,3,259,0.131011,0.0034245,34.3,24,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.003424502,0.096910999,28.29930015,0
oy27_SQK-NBD114-24_barcode16,oyster,16,6,NC_021901.1,1,197693,9,258,0.130505,0.00969179,35.7,2.22,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.009691795,0.284020517,29.30525472,0.19
oy54_SQK-NBD114-24_barcode13,oyster,37,32,NC_021901.1,1,197693,2,257,0.13,0.00243307,39.9,10.5,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.002433065,0.068507558,28.15689126,0.01
S14_SQK-NBD114-24_barcode04, bay seawater,83,81,NC_021901.1,1,197693,2,253,0.127976,0.00255447,42.1,1,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.002554466,0.071395713,27.94937179240063,0.03
oy53_SQK-NBD114-24_barcode35,oyster,59,16,NC_021901.1,1,197693,1,248,0.125447,0.00125447,40.1,1,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.00125447,0.03539628,28.21611585,0
oy20_SQK-NBD114-24_barcode09,oyster,9,11,NC_021901.1,1,197693,5,247,0.124941,0.00571593,33.4,7.6,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.005715933,0.164898021,28.84883579,0.14
oy26_SQK-NBD114-24_barcode15,oyster,15,17,NC_021901.1,1,197693,3,244,0.123424,0.00294396,39.7,2.33,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.002943959,0.086823893,29.49222659,0.08
oy32_SQK-NBD114-24_barcode18,oyster,18,20,NC_021901.1,1,197693,1,242,0.122412,0.00122412,33.5,15,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.00122412,0.034966009,28.56419477,0
oy31_SQK-NBD114-24_barcode17,oyster,17,20,NC_021901.1,1,197693,9,239,0.120895,0.0101673,33.9,2.22,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.01016728,0.298573474,29.36611233,0.07
oy23_SQK-NBD114-24_barcode12,oyster,12,12,NC_021901.1,1,197693,4,236,0.119377,0.00430465,33.2,1.5,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.004304654,0.127491865,29.61721415,0.18
oy22_SQK-NBD114-24_barcode11,oyster,11,11,NC_021901.1,1,197693,1,225,0.113813,0.00113813,27,1,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.001138128,0.033716954,29.62491444,0.05
oy16_SQK-NBD114-24_barcode08,oyster,8,4,NC_021901.1,1,197693,1,222,0.112295,0.00112295,34.8,1,345198,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Chloriridovirus,Invertebrate iridescent virus 22,0.001122953,0.033491674,29.82463762,0.27
S09_SQK-NBD114-24_barcode03, bay seawater,82,0,NC_000852.5,1,330611,2,71,0.0214754,0.000429508,39.7,2,10506,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Chlorovirus,Paramecium bursaria Chlorella virus 1,0.000429508,0.02930582,68.23117291785687,0.01
oy55_SQK-NBD114-24_barcode14,oyster,38,60,NC_050152.1,1,101660,1,1038,1.02105,0.0102105,39.4,60,10682,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Punavirus,Punavirus P1,0.010210506,0.100529852,9.845727143,0
